"name"	"taxRank"	"taxID"	"Max"	"barcode01.cladeReads"	"barcode02.cladeReads"	"barcode03.cladeReads"	"barcode04.cladeReads"	"barcode05.cladeReads"	"lineage"
"Ascomycota"	"P"	4890	88	12	85	88	6	29	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya"
"Basidiomycota"	"P"	5204	2	1	NA	NA	NA	2	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya"
"Proteobacteria"	"P"	1224	2728	2499	1652	2728	665	1077	"cellular&nbsp;organisms>Bacteria"
"Firmicutes"	"P"	1239	43	31	43	26	21	33	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Cyanobacteria"	"P"	1117	8	8	8	4	3	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group"
"Actinobacteria"	"P"	201174	14	5	14	8	7	6	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Tenericutes"	"P"	544448	7	4	7	4	4	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Bacteroidetes"	"P"	976	34	17	34	27	10	22	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group"
"Fusobacteria"	"P"	32066	4	1	2	4	2	NA	"cellular&nbsp;organisms>Bacteria"
"Acidobacteria"	"P"	57723	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria"
"Deferribacteres"	"P"	200930	1	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria"
"Chloroflexi"	"P"	200795	1	NA	1	NA	1	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Chlorobi"	"P"	1090	1	NA	1	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group"
"Ignavibacteriae"	"P"	1134404	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group"
"Spirochaetes"	"P"	203691	4	NA	2	2	2	4	"cellular&nbsp;organisms>Bacteria"
"Negarnaviricota"	"P"	2497569	1	NA	1	NA	NA	NA	"Viruses>Riboviria"
"Verrucomicrobia"	"P"	74201	2	NA	NA	2	NA	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group"
"Deinococcus-Thermus"	"P"	1297	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Fibrobacteres"	"P"	65842	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group"
"Candidatus Cloacimonetes"	"P"	456828	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group"
"Thermotogae"	"P"	200918	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria"
